# TBinMid=0.065 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.44000000E-02   1.51175963E+09   1.96503549E+09   1.96503549E+09   2.25809662E+09   1.67395282E+09   1.67395282E+09
   1.46000000E-02   1.48442899E+09   1.89856900E+09   1.89856900E+09   2.20813722E+09   1.64569572E+09   1.64569572E+09
   1.48000000E-02   1.45677625E+09   1.83349753E+09   1.83349753E+09   2.15766364E+09   1.61691980E+09   1.61691980E+09
   1.50000000E-02   1.42886009E+09   1.76987020E+09   1.76987020E+09   2.10680872E+09   1.58769832E+09   1.58769832E+09
   1.52000000E-02   1.40073635E+09   1.70772715E+09   1.70772715E+09   2.05569807E+09   1.55810135E+09   1.55810135E+09
   1.54000000E-02   1.37245807E+09   1.64710019E+09   1.64710019E+09   2.00445006E+09   1.52819572E+09   1.52819572E+09
   1.56000000E-02   1.34407548E+09   1.58801350E+09   1.58801350E+09   1.95317594E+09   1.49804510E+09   1.49804510E+09
   1.58000000E-02   1.31563612E+09   1.53048418E+09   1.53048418E+09   1.90197988E+09   1.46770994E+09   1.46770994E+09
   1.60000000E-02   1.28718484E+09   1.47452296E+09   1.47452296E+09   1.85095911E+09   1.43724756E+09   1.43724756E+09
   1.62000000E-02   1.25876389E+09   1.42013466E+09   1.42013466E+09   1.80020404E+09   1.40671213E+09   1.40671213E+09
   1.64000000E-02   1.23041295E+09   1.36731881E+09   1.36731881E+09   1.74979849E+09   1.37615475E+09   1.37615475E+09
   1.66000000E-02   1.20216924E+09   1.31607014E+09   1.31607014E+09   1.69981978E+09   1.34562354E+09   1.34562354E+09
   1.68000000E-02   1.17406757E+09   1.26637905E+09   1.26637905E+09   1.65033899E+09   1.31516363E+09   1.31516363E+09
   1.70000000E-02   1.14614038E+09   1.21823207E+09   1.21823207E+09   1.60142118E+09   1.28481728E+09   1.28481728E+09
   1.72000000E-02   1.11841788E+09   1.17161231E+09   1.17161231E+09   1.55312554E+09   1.25462397E+09   1.25462397E+09
   1.74000000E-02   1.09092809E+09   1.12649984E+09   1.12649984E+09   1.50550571E+09   1.22462043E+09   1.22462043E+09
   1.76000000E-02   1.06369690E+09   1.08287203E+09   1.08287203E+09   1.45860993E+09   1.19484078E+09   1.19484078E+09
   1.78000000E-02   1.03674820E+09   1.04070396E+09   1.04070396E+09   1.41248133E+09   1.16531658E+09   1.16531658E+09
   1.80000000E-02   1.01010390E+09   9.99968695E+08   9.99968695E+08   1.36715817E+09   1.13607693E+09   1.13607693E+09
   1.82000000E-02   9.83784066E+08   9.60637580E+08   9.60637580E+08   1.32267404E+09   1.10714857E+09   1.10714857E+09
   1.84000000E-02   9.57806949E+08   9.22680536E+08   9.22680536E+08   1.27905814E+09   1.07855598E+09   1.07855598E+09
   1.86000000E-02   9.32189093E+08   8.86066291E+08   8.86066291E+08   1.23633549E+09   1.05032143E+09   1.05032143E+09
   1.88000000E-02   9.06945402E+08   8.50762619E+08   8.50762619E+08   1.19452722E+09   1.02246513E+09   1.02246513E+09
   1.90000000E-02   8.82089217E+08   8.16736543E+08   8.16736543E+08   1.15365071E+09   9.95005303E+08   9.95005303E+08
   1.92000000E-02   8.57632389E+08   7.83954530E+08   7.83954530E+08   1.11371991E+09   9.67958260E+08   9.67958260E+08
   1.94000000E-02   8.33585356E+08   7.52382660E+08   7.52382660E+08   1.07474549E+09   9.41338510E+08   9.41338510E+08
   1.96000000E-02   8.09957212E+08   7.21986788E+08   7.21986788E+08   1.03673511E+09   9.15158845E+08   9.15158845E+08
   1.98000000E-02   7.86755777E+08   6.92732679E+08   6.92732679E+08   9.99693596E+08   8.89430430E+08   8.89430430E+08
   2.00000000E-02   7.63987667E+08   6.64586137E+08   6.64586137E+08   9.63623145E+08   8.64162890E+08   8.64162890E+08
   2.02000000E-02   7.41658360E+08   6.37513116E+08   6.37513116E+08   9.28523539E+08   8.39364393E+08   8.39364393E+08
   2.04000000E-02   7.19772259E+08   6.11479824E+08   6.11479824E+08   8.94392318E+08   8.15041734E+08   8.15041734E+08
   2.06000000E-02   6.98332755E+08   5.86452807E+08   5.86452807E+08   8.61224966E+08   7.91200417E+08   7.91200417E+08
   2.08000000E-02   6.77342292E+08   5.62399029E+08   5.62399029E+08   8.29015081E+08   7.67844730E+08   7.67844730E+08
   2.10000000E-02   6.56802418E+08   5.39285940E+08   5.39285940E+08   7.97754540E+08   7.44977822E+08   7.44977822E+08
   2.12000000E-02   6.36713847E+08   5.17081533E+08   5.17081533E+08   7.67433663E+08   7.22601779E+08   7.22601779E+08
   2.14000000E-02   6.17076514E+08   4.95754396E+08   4.95754396E+08   7.38041353E+08   7.00717688E+08   7.00717688E+08
   2.16000000E-02   5.97889623E+08   4.75273752E+08   4.75273752E+08   7.09565244E+08   6.79325712E+08   6.79325712E+08
   2.18000000E-02   5.79151702E+08   4.55609499E+08   4.55609499E+08   6.81991834E+08   6.58425148E+08   6.58425148E+08
   2.20000000E-02   5.60860647E+08   4.36732232E+08   4.36732232E+08   6.55306614E+08   6.38014497E+08   6.38014497E+08
   2.22000000E-02   5.43013773E+08   4.18613274E+08   4.18613274E+08   6.29494182E+08   6.18091517E+08   6.18091517E+08
   2.24000000E-02   5.25607856E+08   4.01224687E+08   4.01224687E+08   6.04538361E+08   5.98653285E+08   5.98653285E+08
   2.26000000E-02   5.08639174E+08   3.84539289E+08   3.84539289E+08   5.80422302E+08   5.79696249E+08   5.79696249E+08
   2.28000000E-02   4.92103551E+08   3.68530665E+08   3.68530665E+08   5.57128586E+08   5.61216282E+08   5.61216282E+08
   2.30000000E-02   4.75996391E+08   3.53173164E+08   3.53173164E+08   5.34639310E+08   5.43208731E+08   5.43208731E+08
   2.32000000E-02   4.60312722E+08   3.38441911E+08   3.38441911E+08   5.12936180E+08   5.25668461E+08   5.25668461E+08
   2.34000000E-02   4.45047223E+08   3.24312795E+08   3.24312795E+08   4.92000587E+08   5.08589906E+08   5.08589906E+08
   2.36000000E-02   4.30194261E+08   3.10762475E+08   3.10762475E+08   4.71813682E+08   4.91967106E+08   4.91967106E+08
   2.38000000E-02   4.15747925E+08   2.97768365E+08   2.97768365E+08   4.52356445E+08   4.75793748E+08   4.75793748E+08
