# TBinMid=-0.0335 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   2.28000000E-02   6.93743290E+02   7.06245179E+02   7.06245179E+02   6.12028875E+02   3.30290439E+02   3.30290439E+02
   2.30000000E-02   6.75909665E+02   6.87903882E+02   6.87903882E+02   5.97266681E+02   3.21820655E+02   3.21820655E+02
   2.32000000E-02   6.58484811E+02   6.69983534E+02   6.69983534E+02   5.82840038E+02   3.13544949E+02   3.13544949E+02
   2.34000000E-02   6.41456523E+02   6.52471558E+02   6.52471558E+02   5.68738962E+02   3.05457528E+02   3.05457528E+02
   2.36000000E-02   6.24813051E+02   6.35355849E+02   6.35355849E+02   5.54953843E+02   2.97552814E+02   2.97552814E+02
   2.38000000E-02   6.08543085E+02   6.18624753E+02   6.18624753E+02   5.41475429E+02   2.89825437E+02   2.89825437E+02
   2.40000000E-02   5.92635730E+02   6.02267046E+02   6.02267046E+02   5.28294807E+02   2.82270226E+02   2.82270226E+02
   2.42000000E-02   5.77080492E+02   5.86271913E+02   5.86271913E+02   5.15403388E+02   2.74882197E+02   2.74882197E+02
   2.44000000E-02   5.61867255E+02   5.70628935E+02   5.70628935E+02   5.02792897E+02   2.67656551E+02   2.67656551E+02
   2.46000000E-02   5.46986269E+02   5.55328064E+02   5.55328064E+02   4.90455356E+02   2.60588656E+02   2.60588656E+02
   2.48000000E-02   5.32428132E+02   5.40359616E+02   5.40359616E+02   4.78383069E+02   2.53674052E+02   2.53674052E+02
   2.50000000E-02   5.18183776E+02   5.25714246E+02   5.25714246E+02   4.66568614E+02   2.46908431E+02   2.46908431E+02
   2.52000000E-02   5.04244451E+02   5.11382942E+02   5.11382942E+02   4.55004831E+02   2.40287640E+02   2.40287640E+02
   2.54000000E-02   4.90601714E+02   4.97357004E+02   4.97357004E+02   4.43684806E+02   2.33807672E+02   2.33807672E+02
   2.56000000E-02   4.77247414E+02   4.83628036E+02   4.83628036E+02   4.32601869E+02   2.27464657E+02   2.27464657E+02
   2.58000000E-02   4.64173682E+02   4.70187928E+02   4.70187928E+02   4.21749575E+02   2.21254857E+02   2.21254857E+02
   2.60000000E-02   4.51372914E+02   4.57028851E+02   4.57028851E+02   4.11121700E+02   2.15174665E+02   2.15174665E+02
   2.62000000E-02   4.47452720E+02   4.52090971E+02   4.52090971E+02   4.12709349E+02   2.15833844E+02   2.15833844E+02
   2.64000000E-02   4.47797774E+02   4.51115653E+02   4.51115653E+02   4.20089328E+02   2.19691542E+02   2.19691542E+02
   2.66000000E-02   4.48109664E+02   4.50136652E+02   4.50136652E+02   4.27279631E+02   2.23450085E+02   2.23450085E+02
   2.68000000E-02   4.48389547E+02   4.49154324E+02   4.49154324E+02   4.34285674E+02   2.27112306E+02   2.27112306E+02
   2.70000000E-02   4.48638539E+02   4.48169008E+02   4.48169008E+02   4.41112687E+02   2.30680939E+02   2.30680939E+02
   2.72000000E-02   4.48857714E+02   4.47181027E+02   4.47181027E+02   4.47765723E+02   2.34158624E+02   2.34158624E+02
   2.74000000E-02   4.49048104E+02   4.46190687E+02   4.46190687E+02   4.54249660E+02   2.37547912E+02   2.37547912E+02
   2.76000000E-02   4.49210704E+02   4.45198284E+02   4.45198284E+02   4.60569215E+02   2.40851268E+02   2.40851268E+02
   2.78000000E-02   4.49346474E+02   4.44204097E+02   4.44204097E+02   4.66728945E+02   2.44071076E+02   2.44071076E+02
   2.80000000E-02   4.49456337E+02   4.43208393E+02   4.43208393E+02   4.72733255E+02   2.47209637E+02   2.47209637E+02
   2.82000000E-02   4.49541182E+02   4.42211426E+02   4.42211426E+02   4.78586405E+02   2.50269179E+02   2.50269179E+02
   2.84000000E-02   4.49601868E+02   4.41213438E+02   4.41213438E+02   4.84292514E+02   2.53251856E+02   2.53251856E+02
   2.86000000E-02   4.49639222E+02   4.40214662E+02   4.40214662E+02   4.89855569E+02   2.56159750E+02   2.56159750E+02
   2.88000000E-02   4.49654040E+02   4.39215318E+02   4.39215318E+02   4.95279424E+02   2.58994877E+02   2.58994877E+02
   2.90000000E-02   4.49647092E+02   4.38215616E+02   4.38215616E+02   5.00567811E+02   2.61759189E+02   2.61759189E+02
   2.92000000E-02   4.49619120E+02   4.37215756E+02   4.37215756E+02   5.05724342E+02   2.64454572E+02   2.64454572E+02
   2.94000000E-02   4.49570838E+02   4.36215930E+02   4.36215930E+02   5.10752512E+02   2.67082854E+02   2.67082854E+02
