# TBinMid=0.5515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   2.62000000E-02   2.30759545E+09   2.68561828E+09   2.68561828E+09   3.28390164E+09   2.52262948E+09   2.52262948E+09
   2.64000000E-02   2.26354990E+09   2.62942837E+09   2.62942837E+09   3.21787114E+09   2.47387400E+09   2.47387400E+09
   2.66000000E-02   2.22036568E+09   2.57435191E+09   2.57435191E+09   3.15314183E+09   2.42607375E+09   2.42607375E+09
   2.68000000E-02   2.17802052E+09   2.52035999E+09   2.52035999E+09   3.08968000E+09   2.37920402E+09   2.37920402E+09
   2.70000000E-02   2.13649293E+09   2.46742463E+09   2.46742463E+09   3.02745304E+09   2.33324094E+09   2.33324094E+09
   2.72000000E-02   2.09576206E+09   2.41551875E+09   2.41551875E+09   2.96642937E+09   2.28816140E+09   2.28816140E+09
   2.74000000E-02   2.05580778E+09   2.36461617E+09   2.36461617E+09   2.90657848E+09   2.24394304E+09   2.24394304E+09
   2.76000000E-02   2.01661057E+09   2.31469153E+09   2.31469153E+09   2.84787078E+09   2.20056418E+09   2.20056418E+09
   2.78000000E-02   1.97815154E+09   2.26572027E+09   2.26572027E+09   2.79027765E+09   2.15800388E+09   2.15800388E+09
   2.80000000E-02   1.94041239E+09   2.21767863E+09   2.21767863E+09   2.73377137E+09   2.11624182E+09   2.11624182E+09
   2.82000000E-02   1.90337539E+09   2.17054357E+09   2.17054357E+09   2.67832507E+09   2.07525833E+09   2.07525833E+09
   2.84000000E-02   1.86702338E+09   2.12429278E+09   2.12429278E+09   2.62391275E+09   2.03503435E+09   2.03503435E+09
   2.86000000E-02   1.83133970E+09   2.07890463E+09   2.07890463E+09   2.57050917E+09   1.99555140E+09   1.99555140E+09
   2.88000000E-02   1.79630821E+09   2.03435818E+09   2.03435818E+09   2.51808990E+09   1.95679158E+09   1.95679158E+09
   2.90000000E-02   1.76191328E+09   1.99063309E+09   1.99063309E+09   2.46663123E+09   1.91873752E+09   1.91873752E+09
   2.92000000E-02   1.72813972E+09   1.94770967E+09   1.94770967E+09   2.41611019E+09   1.88137238E+09   1.88137238E+09
   2.94000000E-02   1.69497282E+09   1.90556881E+09   1.90556881E+09   2.36650447E+09   1.84467984E+09   1.84467984E+09
   2.96000000E-02   1.66239830E+09   1.86419197E+09   1.86419197E+09   2.31779247E+09   1.80864404E+09   1.80864404E+09
   2.98000000E-02   1.63040231E+09   1.82356117E+09   1.82356117E+09   2.26995319E+09   1.77324961E+09   1.77324961E+09
   3.00000000E-02   1.59897139E+09   1.78365895E+09   1.78365895E+09   2.22296628E+09   1.73848163E+09   1.73848163E+09
   3.02000000E-02   1.56809249E+09   1.74446836E+09   1.74446836E+09   2.17681196E+09   1.70432560E+09   1.70432560E+09
