# TBinMid=-0.0435 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   2.06000000E-02   1.05598981E+06   6.81149322E+02   6.81149322E+02   4.11451605E+01   6.81149322E+02   6.81149322E+02
   2.08000000E-02   8.85210463E+05   6.63741394E+02   6.63741394E+02   3.90809184E+01   6.63741394E+02   6.63741394E+02
   2.10000000E-02   7.19206523E+05   6.46767966E+02   6.46767966E+02   3.70718110E+01   6.46767966E+02   6.46767966E+02
   2.12000000E-02   5.57814251E+05   6.30214808E+02   6.30214808E+02   3.51159808E+01   6.30214808E+02   6.30214808E+02
   2.14000000E-02   4.00876823E+05   6.14068276E+02   6.14068276E+02   3.32116482E+01   6.14068276E+02   6.14068276E+02
   2.16000000E-02   2.48243983E+05   5.98315282E+02   5.98315282E+02   3.13571073E+01   5.98315282E+02   5.98315282E+02
   2.18000000E-02   9.97717164E+04   5.82943270E+02   5.82943270E+02   2.95507223E+01   5.82943270E+02   5.82943270E+02
   2.20000000E-02   6.87917874E+01   5.67940184E+02   5.67940184E+02   2.77909243E+01   5.67940184E+02   5.67940184E+02
   2.22000000E-02   6.68662462E+01   5.53294449E+02   5.53294449E+02   2.60762075E+01   5.53294449E+02   5.53294449E+02
   2.24000000E-02   6.49866963E+01   5.38994946E+02   5.38994946E+02   2.44051268E+01   5.38994946E+02   5.38994946E+02
   2.26000000E-02   6.31517124E+01   5.25030992E+02   5.25030992E+02   2.27762943E+01   5.25030992E+02   5.25030992E+02
   2.28000000E-02   6.13599242E+01   5.11392315E+02   5.11392315E+02   2.11883768E+01   5.11392315E+02   5.11392315E+02
   2.30000000E-02   5.96100144E+01   4.98069039E+02   4.98069039E+02   1.96400934E+01   4.98069039E+02   4.98069039E+02
   2.32000000E-02   5.79007159E+01   4.85051665E+02   4.85051665E+02   1.81302128E+01   4.85051665E+02   4.85051665E+02
   2.34000000E-02   5.62308097E+01   4.72331052E+02   4.72331052E+02   1.66575508E+01   4.72331052E+02   4.72331052E+02
   2.36000000E-02   5.45991226E+01   4.59898404E+02   4.59898404E+02   1.52209689E+01   4.59898404E+02   4.59898404E+02
   2.38000000E-02   5.30045252E+01   4.47745248E+02   4.47745248E+02   1.38193712E+01   4.47745248E+02   4.47745248E+02
   2.40000000E-02   5.14459298E+01   4.35863427E+02   4.35863427E+02   1.24517032E+01   4.35863427E+02   4.35863427E+02
   2.42000000E-02   4.99222885E+01   4.24245081E+02   4.24245081E+02   1.11169499E+01   4.24245081E+02   4.24245081E+02
   2.44000000E-02   4.84325919E+01   4.12882637E+02   4.12882637E+02   9.81413335E+00   4.12882637E+02   4.12882637E+02
   2.46000000E-02   4.69758668E+01   4.01768793E+02   4.01768793E+02   8.54231191E+00   4.01768793E+02   4.01768793E+02
   2.48000000E-02   4.55511749E+01   3.90896509E+02   3.90896509E+02   7.30057807E+00   3.90896509E+02   3.90896509E+02
   2.50000000E-02   4.41576114E+01   3.80258995E+02   3.80258995E+02   6.08805715E+00   3.80258995E+02   3.80258995E+02
   2.52000000E-02   4.27943034E+01   3.69849699E+02   3.69849699E+02   4.90390584E+00   3.69849699E+02   3.69849699E+02
   2.54000000E-02   4.14604086E+01   3.59662300E+02   3.59662300E+02   3.74731090E+00   3.59662300E+02   3.59662300E+02
   2.56000000E-02   4.01551139E+01   3.49690694E+02   3.49690694E+02   2.61748783E+00   3.49690694E+02   3.49690694E+02
   2.58000000E-02   3.88776345E+01   3.39928988E+02   3.39928988E+02   1.51367965E+00   3.39928988E+02   3.39928988E+02
   2.60000000E-02   3.76272123E+01   3.30371491E+02   3.30371491E+02   4.35155794E-01   3.30371491E+02   3.30371491E+02
   2.62000000E-02   3.64031151E+01   3.30334610E+02   3.30334610E+02   8.16639115E-02   3.30334610E+02   3.30334610E+02
   2.64000000E-02   3.52046354E+01   3.34847130E+02   3.34847130E+02   7.94176100E-02   3.34847130E+02   3.34847130E+02
   2.66000000E-02   3.40310893E+01   3.39239246E+02   3.39239246E+02   7.72172794E-02   3.39239246E+02   3.39239246E+02
   2.68000000E-02   3.28818161E+01   3.43514435E+02   3.43514435E+02   7.50617090E-02   3.43514435E+02   3.43514435E+02
   2.70000000E-02   3.17561764E+01   3.47676055E+02   3.47676055E+02   7.29497283E-02   3.47676055E+02   3.47676055E+02
   2.72000000E-02   3.06535522E+01   3.51727345E+02   3.51727345E+02   7.08802050E-02   3.51727345E+02   3.51727345E+02
   2.74000000E-02   2.95733454E+01   3.55671437E+02   3.55671437E+02   6.88520435E-02   3.55671437E+02   3.55671437E+02
   2.76000000E-02   2.85149776E+01   3.59511355E+02   3.59511355E+02   6.68641837E-02   3.59511355E+02   3.59511355E+02
   2.78000000E-02   2.74778886E+01   3.63250022E+02   3.63250022E+02   6.49155993E-02   3.63250022E+02   3.63250022E+02
   2.80000000E-02   2.64615364E+01   3.66890261E+02   3.66890261E+02   6.30052969E-02   3.66890261E+02   3.66890261E+02
   2.82000000E-02   2.54653961E+01   3.70434804E+02   3.70434804E+02   6.11323143E-02   3.70434804E+02   3.70434804E+02
   2.84000000E-02   2.44889593E+01   3.73886290E+02   3.73886290E+02   5.92957194E-02   3.73886290E+02   3.73886290E+02
   2.86000000E-02   2.35317336E+01   3.77247274E+02   3.77247274E+02   5.74946096E-02   3.77247274E+02   3.77247274E+02
   2.88000000E-02   2.25932418E+01   3.80520224E+02   3.80520224E+02   5.57281099E-02   3.80520224E+02   3.80520224E+02
   2.90000000E-02   2.16730217E+01   3.83707531E+02   3.83707531E+02   5.39953723E-02   3.83707531E+02   3.83707531E+02
   2.92000000E-02   2.07706251E+01   3.86811507E+02   3.86811507E+02   5.22955749E-02   3.86811507E+02   3.86811507E+02
   2.94000000E-02   1.98856174E+01   3.89834391E+02   3.89834391E+02   5.06279205E-02   3.89834391E+02   3.89834391E+02
   2.96000000E-02   1.90175773E+01   3.92778350E+02   3.92778350E+02   4.89916362E-02   3.92778350E+02   3.92778350E+02
   2.98000000E-02   1.81660963E+01   3.95645483E+02   3.95645483E+02   4.73859722E-02   3.95645483E+02   3.95645483E+02
   3.00000000E-02   1.73307779E+01   3.98437821E+02   3.98437821E+02   4.58102011E-02   3.98437821E+02   3.98437821E+02
   3.02000000E-02   1.65112374E+01   4.01157334E+02   4.01157334E+02   4.42636169E-02   4.01157334E+02   4.01157334E+02
   3.04000000E-02   1.57071018E+01   4.03805928E+02   4.03805928E+02   4.27455346E-02   4.03805928E+02   4.03805928E+02
   3.06000000E-02   1.49180087E+01   4.06385453E+02   4.06385453E+02   4.12552890E-02   4.06385453E+02   4.06385453E+02
   3.08000000E-02   1.41436064E+01   4.08897700E+02   4.08897700E+02   3.97922345E-02   4.08897700E+02   4.08897700E+02
   3.10000000E-02   1.33835535E+01   4.11344405E+02   4.11344405E+02   3.83557439E-02   4.11344405E+02   4.11344405E+02
   3.12000000E-02   1.26375183E+01   4.13727252E+02   4.13727252E+02   3.69452082E-02   4.13727252E+02   4.13727252E+02
   3.14000000E-02   1.19051787E+01   4.16047873E+02   4.16047873E+02   3.55600357E-02   4.16047873E+02   4.16047873E+02
   3.16000000E-02   1.11862217E+01   4.18307853E+02   4.18307853E+02   3.41996515E-02   4.18307853E+02   4.18307853E+02
   3.18000000E-02   1.04803434E+01   4.20508728E+02   4.20508728E+02   3.28634970E-02   4.20508728E+02   4.20508728E+02
   3.20000000E-02   9.78724806E+00   4.22651987E+02   4.22651987E+02   3.15510292E-02   4.22651987E+02   4.22651987E+02
   3.22000000E-02   9.10664863E+00   4.24739079E+02   4.24739079E+02   3.02617201E-02   4.24739079E+02   4.24739079E+02
   3.24000000E-02   8.43826583E+00   4.26771405E+02   4.26771405E+02   2.89950566E-02   4.26771405E+02   4.26771405E+02
   3.26000000E-02   7.78182814E+00   4.28750330E+02   4.28750330E+02   2.77505395E-02   4.28750330E+02   4.28750330E+02
   3.28000000E-02   7.13707155E+00   4.30677175E+02   4.30677175E+02   2.65276835E-02   4.30677175E+02   4.30677175E+02
   3.30000000E-02   6.50373924E+00   4.32553226E+02   4.32553226E+02   2.53260164E-02   4.32553226E+02   4.32553226E+02
   3.32000000E-02   5.88158141E+00   4.34379730E+02   4.34379730E+02   2.41450787E-02   4.34379730E+02   4.34379730E+02
   3.34000000E-02   5.27035500E+00   4.36157899E+02   4.36157899E+02   2.29844234E-02   4.36157899E+02   4.36157899E+02
   3.36000000E-02   4.66982350E+00   4.37888910E+02   4.37888910E+02   2.18436155E-02   4.37888910E+02   4.37888910E+02
   3.38000000E-02   4.07975672E+00   4.39573907E+02   4.39573907E+02   2.07222315E-02   4.39573907E+02   4.39573907E+02
   3.40000000E-02   3.49993059E+00   4.41214001E+02   4.41214001E+02   1.96198592E-02   4.41214001E+02   4.41214001E+02
   3.42000000E-02   2.93012701E+00   4.42810272E+02   4.42810272E+02   1.85360971E-02   4.42810272E+02   4.42810272E+02
   3.44000000E-02   2.37013356E+00   4.44363771E+02   4.44363771E+02   1.74705543E-02   4.44363771E+02   4.44363771E+02
   3.46000000E-02   1.81974343E+00   4.45875519E+02   4.45875519E+02   1.64228502E-02   4.45875519E+02   4.45875519E+02
   3.48000000E-02   1.27875518E+00   4.47346507E+02   4.47346507E+02   1.53926140E-02   4.47346507E+02   4.47346507E+02
   3.50000000E-02   7.46972585E-01   4.48777702E+02   4.48777702E+02   1.43794843E-02   4.48777702E+02   4.48777702E+02
   3.52000000E-02   2.24204471E-01   4.50170041E+02   4.50170041E+02   1.33831091E-02   4.50170041E+02   4.50170041E+02
   3.54000000E-02   6.35711516E-07   4.51524438E+02   4.51524438E+02   1.24031455E-02   4.51524438E+02   4.51524438E+02
   3.56000000E-02   6.24596643E-07   4.52841782E+02   4.52841782E+02   1.14392590E-02   4.52841782E+02   4.52841782E+02
   3.58000000E-02   6.13647983E-07   4.54122936E+02   4.54122936E+02   1.04911239E-02   4.54122936E+02   4.54122936E+02
   3.60000000E-02   6.02862300E-07   4.55368741E+02   4.55368741E+02   9.55842225E-03   4.55368741E+02   4.55368741E+02
   3.62000000E-02   5.92236438E-07   4.56580017E+02   4.56580017E+02   8.64084441E-03   4.56580017E+02   4.56580017E+02
   3.64000000E-02   5.81767316E-07   4.57757560E+02   4.57757560E+02   7.73808825E-03   4.57757560E+02   4.57757560E+02
   3.66000000E-02   5.71451930E-07   4.58902145E+02   4.58902145E+02   6.84985915E-03   4.58902145E+02   4.58902145E+02
   3.68000000E-02   5.61287346E-07   4.60014528E+02   4.60014528E+02   5.97586974E-03   4.60014528E+02   4.60014528E+02
   3.70000000E-02   5.51270703E-07   4.61095443E+02   4.61095443E+02   5.11583966E-03   4.61095443E+02   4.61095443E+02
   3.72000000E-02   5.41399205E-07   4.62145608E+02   4.62145608E+02   4.26949540E-03   4.62145608E+02   4.62145608E+02
   3.74000000E-02   5.31670126E-07   4.63165718E+02   4.63165718E+02   3.43657005E-03   4.63165718E+02   4.63165718E+02
   3.76000000E-02   5.22080801E-07   4.64156455E+02   4.64156455E+02   2.61680315E-03   4.64156455E+02   4.64156455E+02
   3.78000000E-02   5.12628630E-07   4.65118478E+02   4.65118478E+02   1.80994047E-03   4.65118478E+02   4.65118478E+02
   3.80000000E-02   5.03311073E-07   4.66052433E+02   4.66052433E+02   1.01573387E-03   4.66052433E+02   4.66052433E+02
   3.82000000E-02   4.94125648E-07   4.66958949E+02   4.66958949E+02   2.33941078E-04   4.66958949E+02   4.66958949E+02
   3.84000000E-02   4.85069931E-07   4.62528649E+02   4.62528649E+02   1.51359527E-06   4.62528649E+02   4.62528649E+02
   3.86000000E-02   4.76141555E-07   4.55893533E+02   4.55893533E+02   1.48517445E-06   4.55893533E+02   4.55893533E+02
   3.88000000E-02   4.67338207E-07   4.49348612E+02   4.49348612E+02   1.45715244E-06   4.49348612E+02   4.49348612E+02
   3.90000000E-02   4.58657624E-07   4.42892276E+02   4.42892276E+02   1.42952200E-06   4.42892276E+02   4.42892276E+02
   3.92000000E-02   4.50097599E-07   4.36522951E+02   4.36522951E+02   1.40227609E-06   4.36522951E+02   4.36522951E+02
   3.94000000E-02   4.41655970E-07   4.30239096E+02   4.30239096E+02   1.37540782E-06   4.30239096E+02   4.30239096E+02
   3.96000000E-02   4.33330627E-07   4.24039209E+02   4.24039209E+02   1.34891043E-06   4.24039209E+02   4.24039209E+02
   3.98000000E-02   4.25119505E-07   4.17921817E+02   4.17921817E+02   1.32277735E-06   4.17921817E+02   4.17921817E+02
   4.00000000E-02   4.17020587E-07   4.11885482E+02   4.11885482E+02   1.29700214E-06   4.11885482E+02   4.11885482E+02
   4.02000000E-02   4.09031900E-07   4.05928797E+02   4.05928797E+02   1.27157848E-06   4.05928797E+02   4.05928797E+02
   4.04000000E-02   4.01151512E-07   4.00050385E+02   4.00050385E+02   1.24650023E-06   4.00050385E+02   4.00050385E+02
   4.06000000E-02   3.93377538E-07   3.94248899E+02   3.94248899E+02   1.22176135E-06   3.94248899E+02   3.94248899E+02
   4.08000000E-02   3.85708131E-07   3.88523024E+02   3.88523024E+02   1.19735596E-06   3.88523024E+02   3.88523024E+02
   4.10000000E-02   3.78141483E-07   3.82871469E+02   3.82871469E+02   1.17327828E-06   3.82871469E+02   3.82871469E+02
   4.12000000E-02   3.70675829E-07   3.77292974E+02   3.77292974E+02   1.14952268E-06   3.77292974E+02   3.77292974E+02
   4.14000000E-02   3.63309440E-07   3.71786304E+02   3.71786304E+02   1.12608364E-06   3.71786304E+02   3.71786304E+02
   4.16000000E-02   3.56040622E-07   3.66350252E+02   3.66350252E+02   1.10295576E-06   3.66350252E+02   3.66350252E+02
   4.18000000E-02   3.48867722E-07   3.60983636E+02   3.60983636E+02   1.08013375E-06   3.60983636E+02   3.60983636E+02
   4.20000000E-02   3.41789117E-07   3.55685297E+02   3.55685297E+02   1.05761245E-06   3.55685297E+02   3.55685297E+02
   4.22000000E-02   3.34803221E-07   3.50454103E+02   3.50454103E+02   1.03538677E-06   3.50454103E+02   3.50454103E+02
   4.24000000E-02   3.27908482E-07   3.45288945E+02   3.45288945E+02   1.01345178E-06   3.45288945E+02   3.45288945E+02
