# TBinMid=2.4515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.66000000E-02   2.85740817E+09   2.14269320E+09   2.14269320E+09   3.06945844E+09   2.14269320E+09   2.14269320E+09
   1.68000000E-02   2.79973847E+09   2.11589440E+09   2.11589440E+09   3.03567551E+09   2.11589440E+09   2.11589440E+09
   1.70000000E-02   2.74370234E+09   2.08974126E+09   2.08974126E+09   3.00265522E+09   2.08974126E+09   2.08974126E+09
   1.72000000E-02   2.68923639E+09   2.06421089E+09   2.06421089E+09   2.97037170E+09   2.06421089E+09   2.06421089E+09
   1.74000000E-02   2.63628038E+09   2.03928150E+09   2.03928150E+09   2.93880026E+09   2.03928150E+09   2.03928150E+09
   1.76000000E-02   2.58477700E+09   2.01493228E+09   2.01493228E+09   2.90791731E+09   2.01493228E+09   2.01493228E+09
   1.78000000E-02   2.53467172E+09   1.99114336E+09   1.99114336E+09   2.87770028E+09   1.99114336E+09   1.99114336E+09
   1.80000000E-02   2.48591263E+09   1.96491325E+09   1.96491325E+09   2.84322811E+09   1.96491325E+09   1.96491325E+09
   1.82000000E-02   2.43845024E+09   1.92688270E+09   1.92688270E+09   2.78913390E+09   1.92688270E+09   1.92688270E+09
   1.84000000E-02   2.39223742E+09   1.88985659E+09   1.88985659E+09   2.73646267E+09   1.88985659E+09   1.88985659E+09
   1.86000000E-02   2.34722920E+09   1.85379874E+09   1.85379874E+09   2.68516323E+09   1.85379874E+09   1.85379874E+09
   1.88000000E-02   2.30338266E+09   1.81867460E+09   1.81867460E+09   2.63518674E+09   1.81867460E+09   1.81867460E+09
   1.90000000E-02   2.26065686E+09   1.78445119E+09   1.78445119E+09   2.58648658E+09   1.78445119E+09   1.78445119E+09
   1.92000000E-02   2.21901267E+09   1.75109703E+09   1.75109703E+09   2.53901821E+09   1.75109703E+09   1.75109703E+09
