# TBinMid=-0.0335 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.44000000E-02   3.42540642E+05   7.50035941E+06   7.50035941E+06   2.37879140E+03   2.05403150E+03   2.05403150E+03
   1.46000000E-02   3.26811900E+05   7.15528918E+06   7.15528918E+06   2.22651712E+03   1.97402077E+03   1.97402077E+03
   1.48000000E-02   3.11656390E+05   6.82279766E+06   6.82279766E+06   2.07996481E+03   1.89686875E+03   1.89686875E+03
   1.50000000E-02   2.97047259E+05   6.50229556E+06   6.50229556E+06   1.93886304E+03   1.82244262E+03   1.82244262E+03
   1.52000000E-02   2.82959221E+05   6.19322796E+06   6.19322796E+06   1.80295634E+03   1.75061733E+03   1.75061733E+03
   1.54000000E-02   2.69368447E+05   5.89507194E+06   5.89507194E+06   1.67200405E+03   1.68127495E+03   1.68127495E+03
   1.56000000E-02   2.56252465E+05   5.60733436E+06   5.60733436E+06   1.54577935E+03   1.61430428E+03   1.61430428E+03
   1.58000000E-02   2.43590069E+05   5.32954981E+06   5.32954981E+06   1.42406823E+03   1.54960030E+03   1.54960030E+03
   1.60000000E-02   2.31361229E+05   5.06127875E+06   5.06127875E+06   1.30666870E+03   1.48706383E+03   1.48706383E+03
   1.62000000E-02   2.19547016E+05   4.80210579E+06   4.80210579E+06   1.19338993E+03   1.42660109E+03   1.42660109E+03
   1.64000000E-02   2.08129531E+05   4.55163811E+06   4.55163811E+06   1.08405154E+03   1.36812338E+03   1.36812338E+03
   1.66000000E-02   1.97091832E+05   4.30950395E+06   4.30950395E+06   9.78482906E+02   1.31154672E+03   1.31154672E+03
   1.68000000E-02   1.86417878E+05   4.07535129E+06   4.07535129E+06   8.76522522E+02   1.25679158E+03   1.25679158E+03
   1.70000000E-02   1.76092471E+05   3.84884660E+06   3.84884660E+06   7.78017436E+02   1.20378257E+03   1.20378257E+03
   1.72000000E-02   1.66101201E+05   3.62967363E+06   3.62967363E+06   6.82822692E+02   1.15244819E+03   1.15244819E+03
   1.74000000E-02   1.56430395E+05   3.41753239E+06   3.41753239E+06   5.90800839E+02   1.10272061E+03   1.10272061E+03
   1.76000000E-02   1.47067078E+05   3.21213813E+06   3.21213813E+06   5.01821461E+02   1.05453539E+03   1.05453539E+03
   1.78000000E-02   1.37999708E+05   3.01322078E+06   3.01322078E+06   4.30514556E+02   1.01190119E+03   1.01190119E+03
   1.80000000E-02   1.29218810E+05   2.82052452E+06   2.82052452E+06   4.18981368E+02   9.86406210E+02   9.86406210E+02
   1.82000000E-02   1.20710103E+05   2.63380334E+06   2.63380334E+06   4.07775422E+02   9.61627312E+02   9.61627312E+02
   1.84000000E-02   1.12463001E+05   2.45282478E+06   2.45282478E+06   3.96884450E+02   9.37537774E+02   9.37537774E+02
   1.86000000E-02   1.04467424E+05   2.27736758E+06   2.27736758E+06   3.86296766E+02   9.14112137E+02   9.14112137E+02
   1.88000000E-02   9.67137753E+04   2.10722104E+06   2.10722104E+06   3.76001230E+02   8.91326124E+02   8.91326124E+02
   1.90000000E-02   8.91929118E+04   1.94218444E+06   1.94218444E+06   3.65987213E+02   8.69156581E+02   8.69156581E+02
   1.92000000E-02   8.18961174E+04   1.78206641E+06   1.78206641E+06   3.56244578E+02   8.47581408E+02   8.47581408E+02
   1.94000000E-02   7.48150797E+04   1.62668446E+06   1.62668446E+06   3.46763643E+02   8.26579504E+02   8.26579504E+02
   1.96000000E-02   6.79418681E+04   1.47586450E+06   1.47586450E+06   3.37535161E+02   8.06130714E+02   8.06130714E+02
   1.98000000E-02   6.12689121E+04   1.32944031E+06   1.32944031E+06   3.28550299E+02   7.86215773E+02   7.86215773E+02
   2.00000000E-02   5.47889821E+04   1.18725319E+06   1.18725319E+06   3.19800608E+02   7.66816263E+02   7.66816263E+02
   2.02000000E-02   4.84951710E+04   1.04915149E+06   1.04915149E+06   3.11278012E+02   7.47914567E+02   7.47914567E+02
   2.04000000E-02   4.23808769E+04   9.14990279E+05   9.14990279E+05   3.02974779E+02   7.29493825E+02   7.29493825E+02
   2.06000000E-02   3.64397868E+04   7.84630965E+05   7.84630965E+05   2.94883512E+02   7.11537897E+02   7.11537897E+02
   2.08000000E-02   3.06658620E+04   6.57940975E+05   6.57940975E+05   2.86997125E+02   6.94031324E+02   6.94031324E+02
   2.10000000E-02   2.50533231E+04   5.34793433E+05   5.34793433E+05   2.79308829E+02   6.76959295E+02   6.76959295E+02
   2.12000000E-02   1.95966372E+04   4.15066876E+05   4.15066876E+05   2.71812121E+02   6.60307614E+02   6.60307614E+02
   2.14000000E-02   1.42905053E+04   2.98644971E+05   2.98644971E+05   2.64500761E+02   6.44062668E+02   6.44062668E+02
   2.16000000E-02   9.12985027E+03   1.85416258E+05   1.85416258E+05   2.57368769E+02   6.28211397E+02   6.28211397E+02
   2.18000000E-02   4.10980570E+03   7.52739063E+04   7.52739063E+04   2.50410404E+02   6.12741272E+02   6.12741272E+02
   2.20000000E-02   7.05365656E+02   6.91952489E+02   6.91952489E+02   2.43620157E+02   5.97640263E+02   5.97640263E+02
   2.22000000E-02   6.88099567E+02   6.73879935E+02   6.73879935E+02   2.36992738E+02   5.82896819E+02   5.82896819E+02
